Sr.no,Brand,Model Name,Price,Item Weight (kg),Color Options,Wheels,Energy Consumption (Kwh/yr),Load Weight,Height,Width,Gross Weight,Type,Product Warranty,Motor Warranty,Child Lock,Noise Level (washing) dB,Noise Level (spinning) dB,Max Spin Speed (rpm),Water Consumption (KWh/yr),Water Consumption (Liters),Loading Type
291,Samsung ,WA75H4020HP/TL,25 900,,Lily Pattern Red,,,"7,5",0,0,0,Fully Automatic,10,0,No,,,680,0,0,Top
292,Lloyd ,LWMT72UV ,16 500,,Grey,,,"7,2",0,0,0,Fully Automatic,2,0,No,,,1000,0,0,Top
293,LG ,T8008TEDLH ,21 490,,Silver,,,7,89,54,0,Fully Automatic,2,0,No,,,700,0,0,Top
294,LG ,FH0B8NDL2 ,25 681,,Blue & White,,,6,85,60,0,Fully Automatic,10,0,No,,,1000,0,0,Front
295,LG ,T8068TEELX ,30 890,,Florid Red Pattern and Burgundy,,,7,0,0,0,Fully Automatic,2,0,No,,,0,0,0,Top
296,LG ,T9003TEELK fully,30 590,,Black Knight,,,8,96,59,0,Fully Automatic,2,0,No,,,0,0,0,Top
297,Haier,XPB 65-113S,8 600,24,Ruby Red,,621,"6,5","92,6",81,24,semi automatic,1,4,No,53,53,800,0,621,Top
298,Videocon ,WM VF60C35-GWG,24 499,,Glossy White,,,6,0,0,0,Fully Automatic,1,0,Yes,,,800,0,0,Front
299,Lloyd ,LWMS75L ,11 490,,Black,,,"7,5",0,0,0,semi automatic,0,0,No,,,1320,0,0,Top
300,SIEMENS ,WM14W540IN ,74 250,,White,,,9,"84,5",60,0,Fully Automatic,0,0,No,71,1400,1400,"1,01",0,Front
301,Godrej ,GWF650FDC ,22 000,,Carmine Red,,,"6,5",0,0,0,Fully Automatic,2,0,No,,,0,0,0,Top
302,LG ,F80E3MDL2,29 490,,Blue White,,,"5,5",0,0,0,Fully Automatic,2,0,No,,,800,0,0,Front
303,Whirlpool ,360H ,28 900,44,Silver,,,8,"103,5","66,5",0,Fully Automatic,2,0,No,,,740,0,0,Top
304,Panasonic ,NA-107VC4W01,34 990,,White,,,7,"84,5","59,7",0,Fully Automatic,2,0,Yes,,,1000,0,50,Front
305,Godrej,WI EON 550 SD,39 900,86,Silver,,,"5,5","99,8","59,6",0,Fully Automatic,2,0,Yes,,,1100,0,0,Front
306,IFB ,Elena Steam,25 890,64,Silver,,,6,"87,5","59,8",0,Fully Automatic,4,0,Yes,,,800,0,45,Front
307,LG ,T8568TEELX ,32 080,,Florid Red Pattern and Burgundy,,,"7,5",0,0,0,Fully Automatic,2,0,No,,,0,0,0,Top
308,IFB ,AW6501SB ,20 900,36,Silver and Black,,,"6,5",97,57,36,Fully Automatic,2,0,No,,,800,0,0,Top
309,IFB ,Elena Aqua Steam VX,28 100,,White,,,6,0,0,0,Fully Automatic,0,0,No,,,0,0,0,Front
310,Videocon ,VT62G14,13 899,,,,,"6,2",0,0,0,Fully Automatic,10,0,No,,,0,0,0,Top
311,Videocon ,VT60H12 ,13 990,35,Dark maroon,,,6,"93,5",58,0,Fully Automatic,1,0,Yes,,,0,0,0,Top
312,Haier ,XPB 72-714D,8 155,,Blue ,,,"7,2","95,8","78,6",0,semi automatic,2,0,No,53,70,800,0,0,Top
313,Whirlpool ,Ace 7.0 Stainfree ,11 999,,Flora Purple,,,7,"95,6",84,0,semi automatic,2,0,No,,,0,0,0,Top
314,Panasonic ,NA-F62H3RRB,19 290,,White,,,"6,2",0,0,0,Fully Automatic,2,0,Yes,,,720,0,0,Top
315,IFB ,TL85SCH ,31 990,53,Champagne Gold,,,"8,5",108,68,53,Fully Automatic,2,0,No,,,720,0,133,Top
316,Whirlpool , BLOOM WASH 8013H,31 700,,Metallic Wine,,,8,0,0,0,Fully Automatic,2,0,No,,,740,0,0,Top
317,Siemens ,WM07X060IN ,22 900,,White,,,"5,5",85,60,0,Fully Automatic,2,0,No,55,67,700,0,0,Front
318,Samsung ,WT9205EG/XTL,13 475,,Light Grey ,,,"7,2",102,82,0,semi automatic,2,0,No,,,680,0,0,Top
319,LG ,T7568TEELJ ,26 690,,Middle Free Silver and Deep Brown,,,"6,5",0,0,0,Fully Automatic,2,0,No,,,0,0,0,Top
